#r (a.u)	f1(r)	f2(r)	f3(r)	f4(r)
19.8	1.02766531620673E-07	-0.0062730999412544	-0.174677533566974	-0.203076346068575
19.9	9.34721420201233E-08	-0.00603111728786203	-0.172097345841594	-0.206222240306862
20	8.50162068230691E-08	-0.00579814159141834	-0.169535357581729	-0.209286861984944
20.1	7.73233026715858E-08	-0.00557385405907252	-0.166992149791041	-0.212270055022618
20.2	7.03247693727854E-08	-0.00535794634015559	-0.164468271549552	-0.215171714798919
20.3	6.39581063453736E-08	-0.00515012022838007	-0.161964240863838	-0.21799178668875
20.4	5.81664203577268E-08	-0.00495008737007845	-0.159480545508574	-0.22073026460834
20.5	5.28979256250169E-08	-0.0047575689785106	-0.157017643858934	-0.223387189570659
20.6	4.81054867928592E-08	-0.00457229555425268	-0.15457596571334	-0.225962648251764
20.7	4.37462011261266E-08	-0.00439400661168694	-0.152155913106123	-0.228456771569019
20.8	3.97810222372345E-08	-0.00422245041156821	-0.149757861109694	-0.230869733272121
20.9	3.61744135141023E-08	-0.00405738369966109	-0.147382158625846	-0.233201748547726
21	3.28940322839559E-08	-0.00389857145142555	-0.145029129165875	-0.235453072638472
21.1	2.99104455860401E-08	-0.00374578662271081	-0.14269907161918	-0.237623999477143
21.2	2.71968687250768E-08	-0.00359880990641971	-0.140392261010112	-0.239714860336639
21.3	2.47289262595006E-08	-0.00345742949508663	-0.138108949242803	-0.241726022496392
21.4	2.24844383042742E-08	-0.00332144084932963	-0.135849365833773	-0.243657887925817
21.5	2.04432216220532E-08	-0.00319064647209297	-0.133613718632136	-0.245510891985342
21.6	1.85869112994121E-08	-0.0030648556886451	-0.131402194527223	-0.247285502145489
21.7	1.68987980054122E-08	-0.00294388443221649	-0.129214960143517	-0.248982216724531
21.8	1.53636774458982E-08	-0.00282755503524969	-0.127052162522768	-0.250601563645046
21.9	1.39677167785354E-08	-0.00271569602614007	-0.124913929793195	-0.252144099209833
22	1.26983298998928E-08	-0.00260814193142193	-0.122800371825726	-0.25361040689748
22.1	1.15440659197357E-08	-0.00250473308327662	-0.120711580877193	-0.255001096177919
22.2	1.04945082631167E-08	-0.00240531543230522	-0.118647632220487	-0.256316801348222
